Sl No,Terrotorial Constituency Name,Name of GPU,Name of Ward
1,KARZI MANGNAM,KARZI MANGNAM GP,1. Mangder
2,,,2. Upper Mangnam
3,,,3. Lower Mangnam
4,,,4. Upper Karzi
5,,,5. Lower Karzi
6,,DHUPIDARA NARKHOLA GP,1. Pokhri
7,,,2. Narkhola
8,,,3.Rungdung
9,,,4. Upper Dhupidara
10,,,5. Yangtam
11,,,6. Lower Dhupidara
12,,,7. Semichen
13,KONGRI TASHIDING,KONGRI LABDANG GP,1. Upper Labdang
14,,,2. Middle Labdang
15,,,3. Lower Labdang
16,,,4. Kongri-Naku
17,,,5. Kongri-Maneydara
18,,TASHIDING GP,1. Upper Gangyap
19,,,2. Lower Gangyap
20,,,3. Thangchug
21,,,4. Lasso
22,,,5. Limbang
23,,,6. Pewthang
24,,,"7. Tashiding (Tashiding Chogyal 
  Lakhang)"
25,,,8. Nerdang
26,ARITHANG GARETHANG,ARITHANG CHONGRANG GP,1. Upper Chongrong
27,,,2. Middle Chongrong
28,,,3. Lower Chongrong
29,,,4. Nesa
30,,,5.Arithang
31,,GERETHANG GP,1. Gerethang
32,,,2. Bahungoan Lunzik
33,,,3. Tamatam
34,,,4. Pembong
35,,,5. Beyoung
36,,,6. Chindaybung(Pau Hongn Gumpa)
37,,,7. Labing
38,,,8. Pullung Samthang
39,YUKSOM KHECHEOPERI,YUKSOM GP,1. Tsokha-Kyongtey
40,,,2. Yoksum
41,,,3. Ting-Ting
42,,,4. Mangsabung
43,,,5. Gufadara Topsing
44,,,6. Dubdi (Dubdi Sangha Gumpa)
45,,THINGLING GP,1. Thingling- Gangjung
46,,,2. Thingling II
47,,,3. Darathang Kendam
48,,,4. Aring Lungsugaon
49,,,5. Lethang
50,,KHECHEOPERI GP,1. Samtek
51,,,2. Lamthang Gumpa
52,,,3. Deorali Pakchuk
53,,,4. Simichen
54,,,5. Chojo
55,MELI RIMBI,MELI ACHING GP,1. Upper Meli
56,,,2. Lower Meli
57,,,3. Lower Meli Tathang
58,,,4. Meli Gumpa
59,,,5. Meli Aching
60,,RIMBI TIGBRUM GP,1. Boom
61,,,2. Singlitam
62,,,3. Rimbi
63,,,4. Tingbrum
64,,,5. Topung
65,DARAP NAMBU,NAMBU SINDERABUNG GP,1. Sindrabong
66,,,2. Tasenthang
67,,,3. Rimbik
68,,,4. Upper Nambu
69,,,5. Lower Nambu
70,,DARAP SINGHENG GP,1. Singpheng
71,,,2. Darap
72,,,3. Kurumpangphay
73,,,4. Siddhibung
74,,,5. Lamkham
75,,,6. Lagey
76,SINGYANG CHUMBUNG,SINGYANG CHUMBUNG GP,1. Singyang
77,,,2. Sindrang
78,,,3. Khasmal Singyang
79,,,4. Upper Naku
80,,,5. Lower Naku (Pemayangtse Gumpa)
81,,,6. Upper Chumbung
82,,,7. Lower Chumbung
83,YANGTEY,YANGTEY GP,1. Upper Yangtey
84,,,2. Lower Yangtey
85,,,3. Upper Onglop
86,,,4. Midle Onglop
87,,,5. Lower Unglok
88,,,6. Upper Bhaluthang
89,,,7. Lower Bhaluthang
90,YANGTHANG TIKJA,YANGTHANG GP,1. Chongzong
91,,,2. Toyang
92,,,3. Arigaon
93,,,4. Langang
94,,,5. Upper Yangthang
95,,TIKJUK KYONGSA GP,1. Tikjuk
96,,,2. Naya Busty
97,,,3. Guruthang
98,,,4. Middle Kyongsa
99,,,5. Lower Kyongsa
100,,LINGCHOM TIKJA GP,1. Upper Lingchom
101,,,2. Middle Lingchom
102,,,3. Lower Lingchom
103,,,4. Lower Tikjya
104,,,5. Upper Tikjya (Sangacholing Gumpa)
105,BONGTEN SARDONG,SARDONG LUNGZIK GP,1. Upper Sardung
106,,,2. Lower Sardung
107,,,3. Middle Sardung
108,,,4. Upper Lungzik
109,,,5. Middle Lungzik
110,,,6. Lower Lungzik
111,,,7. Kayremthang
112,,BONGTEN SAPONG GP,1. Srinagi
113,,,2. Som
114,,,3. Lower Sapong
115,,,4. Upper Sapong
116,,,5. Upper Bongten
117,,,6. Lower Bongten
118,KARMATAR GITANG,KARMATAR GITANG GP,1. Gitang
119,,,2. Jhakridunga Parag Goan
120,,,3. Ferek
121,,,4. Upper Bullung
122,,,5. Lower Bullung
123,,,6. Karmatar
124,,,7. Liching
125,MANEYBUNG SOPAKHA,MANEYBUNG GP,1. Lower Mukrung Lungyok
126,,,2. Borbotey Simbolay
127,,,3. Bundukey Kenthong
128,,,4. Simphok
129,,,5. Gumbadara
130,,,6. Sangdara
131,,,7. Upper Mukrung
132,,SOPAKHA GP,1. Lingay Kunabar
133,,,2. Sopakha
134,,,3. Daray Goan
135,,,4. Majbari Dara
136,,,5. Kumuk Sepi
137,DENTAM BEGHA,BEGHA GP,1. Upper Begha
138,,,2. Middle Begha
139,,,3. Lower Begha
140,,,4. Gorkhali Singshore Naprung
141,,,5. Gairigaon Begha
142,,,6. Gumpa Dara
143,,MANGMOO DENTAM GP,1. Upper Mangmoo
144,,,2. Middle Mangmoo
145,,,3. Lower Mangmoo
146,,,4. Dentam
147,,,5. New Dentam
148,SANGKHU HEE,SANGKHU RADHUKHANDU GP,1. Upper Sangkhu
149,,,2. Lower Sangkhu
150,,,3. Middle Sangku
151,,,4. Upper Khandu
152,,,5. Lower Khandu
153,,,6. Upper Radhu
154,,,7. Lower Radhu
155,,HEE GP,1. Hee Yangthang
156,,,2. Hee Goan
157,,,3. Hee Mangheem
158,,,4. Hee Tamabong
159,,,5. Hee Bazar
160,,,6. Hee Sapong
161,,,7. Hee Kyongbari
162,GYALSHING,GYALSHING OMCHUNG GP,1. Middle Gyalshing
163,,,2. Lower Gyalshing
164,,,3. Malbasay
165,,,4. Upper Omchung
166,,,5. Middle Omchung
167,,,6. Lower Omchung
168,PECHEREK HEE MARTAM,MARTAM GP,1. Martam Sherpagaon
169,,,2. Martam Srijunga
170,,,3. Martam Rafong
171,,,4. Arithang Daragoan
172,,,5. Martam Ghaiyabari
173,,PECHEREK HEE PATEL GP,1. Bijanbari Dorok
174,,,2. Hee Patel
175,,,3. Upper Pechrek
176,,,4. Lower Pechrek
177,,,5. Majhgoan
178,BERMIOK BARTHANG,BERMIOK BARTHANG GP,1. Upper Bermiok
179,,,2. Sambok-13th Mile
180,,,3. Bermiok-Daragaon
181,,,4. Upper Berthang
182,,,5. Ratomatey Tangsing
183,,,6. Lower Berthang
184,,,7. Rungdu
185,BERFOK YANGSUM,BERFOK CHANDABUNG GP,1. Najoor Tinkateri
186,,,2. Barfok
187,,,3. Chingthang
188,,,4. Megyong
189,,,5. Tatopani Taklak
190,,YANGSUM GP,1. Megidara
191,,,2. Upper Yangsum
192,,,3. Yangsum
193,,,4. Daragoan
194,,,5. Meyong
