SL No,List of Services
1,PM Vishwakarma
2,PM Fasal Bima
3,PM Kishan
4,Fisheries Registration
5,Tele Law
6,e-Shram
7,Kishan Credit Card
8,"Token Tax,HPT,HPA, Counter Sign, Temporaray Permit, Duplicate RC, Change of address, update mobile no. DL renewal, DOB change , Learners Licecnce etc.                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
9,Jeewan Praman
10,LIC Premium Collection
11,BBPS(Bharat Bill Payment Services-for any recharge and electricity bill payment)
12,Flight/Train Ticket
13,PAN/Passport
14,Cattle Insurance
15,Motor Insurance
16,Health Insurance 
17,Life Insurance
18,Vechile Loan L
20,Organic Agriculture Product/KVK registration
21,National Pension Scheme 
22,Digipay/Micro ATM
23,GST/ITR Filling
24,NIOS/BOSSE Open Schooling Registration
25,Olympiad Scholarship registration and National Scholarship biometric authuntication
