Dhupi Narkhola,Dhupidara Narkhola
Arithang Chongrang,Arithang Chongrang
Gerethang Labing,Gerethang Labing
Tashiding,Tashiding
Kongri Labdang,Kongri Labdang
Karjee Mangnam,Karzi Mangnam
Gitang Karmatar,Karmatar Gitang
Begha,Begha
Sopakha GPU,Sopakha
Maneybung GPU,Maneybong
Sardung Lungzik GPU,Sardong Lungzick
Bongten Sapong GPU,Bongten Sapong
Mangmoo Dentam GPU,Mangmoo Dentam
Hee GPU,Hee
Asangkhu Radhu Khandu GPU,Sangkhu Radhu Khandu
Tikjuck Kyongsa,Tikjuk Kyongsha
Yangtey,Yangtey
Nambu Sindrabung,Nambu Sindrabong
Darap Nambu,Darap Singpheng
Singyang Chumbung,Singyang Chumbong
Geyzing Omchung,Gyalshing Omchung
Yangthang,Yangthang
Lingchom Tikjek,Lingchom Tikjya
Gyalshing Municipal Council,Gyalshing Municipal Council
Bermiok Berthang GPU,Bermiok Berthang
Martam,Martam
Berfok Chandabong GPU,Berfok Chandabung
Yamgsun GPU,Yangsum
Pecherak Heepatal,Pechreak Heepatal
Yuksam Dubdi GPU,Yuksam
Khechuperi GPU,Khechuperi
Rimbi Tingbrum GPU,Rimbi Timbrong
Melli Aching,Melli Aching
Thingling,Thingling
